Date,Open,High,Low,Close,Next_Day_Return,Target,Daily_Return,SMA_5,SMA_10,SMA_20,SMA_50,Momentum_10,RSI_14,MACD,MACD_Signal,Volatility_20
2022-01-17,18235.65,18321.55,18228.75,18308.1,-0.0106537543491678,0,0.002867589663530623,18217.95,18038.215000000004,17595.08,17516.586,682.3999999999978,85.91812865497089,253.4213110925375,158.5835390296228,0.006041850850002284
2022-01-18,18337.2,18350.95,18085.9,18113.05,-0.0096422192838863,0,-0.010653754349167821,18229.41,18068.995000000003,17662.19,17517.476,307.7999999999993,76.90305985104555,247.0804803759529,176.28292729888884,0.006860079817808358
2022-01-19,18129.2,18129.2,17884.9,17938.4,-0.010112384605093,0,-0.00964221928388631,18174.62,18070.31,17711.3375,17515.359,13.150000000001455,69.99428306971944,225.3646673600997,186.099275311131,0.007272357746055794
2022-01-20,17921.0,17943.7,17648.45,17757.0,-0.0078757673030353,0,-0.010112384605093117,18074.46,18071.42,17745.557500000003,17510.155,11.099999999998545,60.78588827324077,191.31194015554138,187.1418082800131,0.007752100852792086
2022-01-21,17613.7,17707.6,17485.85,17617.15,-0.0265678614304812,0,-0.007875767303035297,17946.739999999998,18051.864999999998,17776.2275,17505.026,-195.54999999999927,49.75376551565247,151.29613462313137,179.97267354863675,0.007954380728700293
2022-01-24,17575.15,17599.4,16997.85,17149.1,0.0075135138287141,1,-0.026567861430481288,17714.94,17966.445,17779.370000000003,17485.953,-854.2000000000007,33.79596473464541,80.88322562055328,160.15478396302007,0.010126715320530104
2022-01-25,17001.55,17309.15,16836.8,17277.95,-0.0097118003003828,0,0.0075135138287141245,17547.920000000002,17888.665,17781.605,17469.323,-777.7999999999993,34.08409146791246,35.07330289066522,135.1384877485491,0.010082133016846078
2022-01-27,17062.0,17182.5,16866.75,17110.15,-0.0004792476980038,0,-0.009711800300382767,17382.27,17778.445,17776.432500000003,17451.542,-1102.199999999997,34.27879027671305,-14.603112956294353,105.1901676075804,0.010320487917409282
2022-01-28,17208.3,17373.5,17077.1,17101.95,0.0139106943944987,1,-0.0004792476980038929,17251.260000000002,17662.86,17771.3325,17435.608,-1155.8499999999985,31.899559426490427,-54.01109559472388,73.34991496711956,0.010320375289127453
2022-01-31,17301.05,17410.0,17264.15,17339.85,0.0136679383039645,1,0.013910694394498657,17195.8,17571.269999999997,17770.6225,17427.109,-915.9000000000015,33.50160395891872,-65.2930068288806,45.62133060791953,0.01061848021278343
2022-02-01,17529.45,17622.4,17244.55,17576.85,0.0115578161047059,1,0.013667938303964622,17281.35,17498.144999999997,17768.18,17430.315,-731.25,39.09211005830899,-54.48204831628027,25.60065482307957,0.010472841368533842
